,DOI,title,author,volume,issue,issued_year,issued_month,crossref_ref_by_count,gscholar_ref_by_count,journal,file_name,cites_per_year
1335,10.1016/j.jmp.2010.08.004,['A hierarchical state space approach to affective dynamics'],"['Tom Lodewyckx', 'Francis Tuerlinckx', 'Peter Kuppens', 'Nicholas B. Allen', 'Lisa Sheeber']",55,1,2011,2,40.0,,jmp,2011-Lodewyckx-Hierarchical.txt,2.7
1336,10.1016/j.jmp.2010.08.010,['Cognitive model decomposition of the BART: Assessment and application'],"['Don van Ravenzwaaij', 'Gilles Dutilh', 'Eric-Jan Wagenmakers']",55,1,2011,2,69.0,,jmp,2011-van Ravenzwaaij-Decomposition.txt,4.6
1337,10.1016/j.jmp.2010.08.009,['The form of the forgetting curve and the fate of memories'],"['Lee Averell', 'Andrew Heathcote']",55,1,2011,2,171.0,,jmp,2011-Averell-Form.txt,11.4
1338,10.1016/j.jmp.2010.08.008,['A Bayesian hierarchical model for the measurement of working memory capacity'],['Richard D. Morey'],55,1,2011,2,41.0,,jmp,2011-Morey-Bayesian.txt,2.7
1339,10.1016/j.jmp.2010.08.013,['How cognitive modeling can benefit from hierarchical Bayesian models'],['Michael D. Lee'],55,1,2011,2,236.0,,jmp,2011-Lee-Cognitive.txt,15.7
1340,10.1016/j.jmp.2010.08.007,['Hierarchical single- and dual-process models of recognition memory'],"['Michael S. Pratte', 'Jeffrey N. Rouder']",55,1,2011,2,30.0,,jmp,2011-Pratte-Single_.txt,2.0
1341,10.1016/j.jmp.2010.08.003,['Understanding memory impairment with memory models and hierarchical Bayesian analysis'],"['James P. Pooley', 'Michael D. Lee', 'William R. Shankle']",55,1,2011,2,20.0,,jmp,2011-Pooley-Memory.txt,1.3
1342,10.1016/j.jmp.2010.08.006,['Hierarchical Bayesian parameter estimation for cumulative prospect theory'],"['Håkan Nilsson', 'Jörg Rieskamp', 'Eric-Jan Wagenmakers']",55,1,2011,2,156.0,,jmp,2011-Nilsson-Bayesian.txt,10.4
1343,10.1016/j.jmp.2010.08.005,['Constructing informative model priors using hierarchical methods'],['Wolf Vanpaemel'],55,1,2011,2,27.0,,jmp,2011-Vanpaemel-Informative.txt,1.8
1344,10.1016/j.jmp.2010.08.011,['Hierarchical models of simple mechanisms underlying confidence in decision making'],"['Edgar C. Merkle', 'Michael Smithson', 'Jay Verkuilen']",55,1,2011,2,23.0,,jmp,2011-Merkle-Models.txt,1.5
1345,10.1016/j.jmp.2010.11.002,['A re-examination of the algebraic properties of the AHP as a ratio-scaling technique'],"['Michele Bernasconi', 'Christine Choirat', 'Raffaello Seri']",55,2,2011,4,12.0,,jmp,2011-Bernasconi-Re_examination.txt,0.8
1346,10.1016/j.jmp.2010.10.002,['The wisdom of crowds in one mind: How individuals can simulate the knowledge of diverse societies to reach better decisions'],"['Heiko Rauhut', 'Jan Lorenz']",55,2,2011,4,64.0,,jmp,2011-Rauhut-Wisdom.txt,4.3
1347,10.1016/j.jmp.2011.02.001,['Mutual support in games: Some properties of Berge equilibria'],"['Andrew M. Colman', 'Tom W. Körner', 'Olivier Musy', 'Tarik Tazdaït']",55,2,2011,4,59.0,,jmp,2011-Colman-Support.txt,3.9
1348,10.1016/j.jmp.2010.12.001,['The Bayesian logic of frequency-based conjunction fallacies'],['Momme von Sydow'],55,2,2011,4,8.0,,jmp,2011-von Sydow-Bayesian.txt,0.5
1349,10.1016/j.jmp.2010.10.001,['Drawing conclusions from choice response time models: A tutorial using the linear ballistic accumulator'],"['Chris Donkin', 'Scott Brown', 'Andrew Heathcote']",55,2,2011,4,71.0,,jmp,2011-Donkin-Conclusions.txt,4.7
1350,10.1016/j.jmp.2010.11.003,['Nice guys finish fast and bad guys finish last: Facilitatory vs. inhibitory interaction in parallel systems'],"['Ami Eidels', 'Joseph W. Houpt', 'Nicholas Altieri', 'Lei Pei', 'James T. Townsend']",55,2,2011,4,70.0,,jmp,2011-Eidels-Guys.txt,4.7
1351,10.1016/j.jmp.2010.12.002,['Matrices with a given number of violations of Regular Minimality'],"['Ehtibar N. Dzhafarov', 'Ali Ünlü', 'Matthias Trendtel', 'Hans Colonius']",55,3,2011,6,2.0,,jmp,2011-Dzhafarov-Given.txt,0.1
